"appid","developer_id"
"10140",35475
"10150",20630
"10170",81949
"10170",50273
"10180",31917
"10195",31917
"10196",31917
"10220",5812
"10220",87010
"10230",65784
"10240",75504
"10250",43060
"10260",62711
"10270",7015
"10420",66942
"10440",27192
"10460",32495
"10470",18685
"10490",19076
"10500",87238
"10500",53353
"10500",77136
"10510",83904
"10520",35927
"10560",66942
"10600",87238
"10600",53353
"10600",77136
"10604",87238
"10604",53353
"10604",77136
"10606",87238
"10606",53353
"10606",77136
"10607",87238
"10607",53353
"10607",77136
"10608",87238
"10608",53353
"10608",77136
"10620",94305
"10680",85430
"10690",15202
"10695",85430
"10697",85430
"11000",48314
"11020",38313
"11040",39967
"11050",39967
"11080",39967
"11090",39967
"11130",39967
"11140",39967
"11150",39967
"11180",39967
"11190",39967
"11200",85690
"11220",85690
"11230",79807
"11250",51318
"11250",71976
"11260",71976
"11270",90736
"11280",15430
"11450",28692
"11470",28692
"11480",99094
"11500",23714
"11550",68436
"11610",69777
"11910",15171
"11920",15171
"12130",16719
"12140",100967
"12150",100967
"12200",13396
"12210",16719
"12210",30863
"12220",36848
"12300",4985
"12310",58413
"12320",18555
"12330",1351
"12360",2389
"12360",23673
"12360",83093
"12364",98146
"12390",22137
"12400",13743
"12420",74386
"12430",44017
"12440",77477
"12450",77477
"12460",3624
"12470",1351
"12480",94747
"12480",71976
"12500",99795
"12510",77878
"12510",95807
"12520",72795
"12530",72795
"12540",2507
"12560",12857
"12570",2507
"12580",2507
"12590",38486
"12600",85538
"12600",70241
"12640",53278
"12650",34202
"12660",34202
"12670",95807
"12690",72795
"12710",28692
"12720",28555
"12810",28692
"12820",28692
"12890",23714
"12900",74533
"12910",74533
"13000",14250
"13010",14250
"13140",70636
"13500",93618
"13510",93618
"13520",37682
"13530",50917
"13540",50917
"13560",93618
"13570",50917
"13580",50917
"13600",28530
"13620",17512
"13630",17512
"13640",93618
"15000",17512
"15060",93618
"15080",95932
"15080",37823
"15100",50917
"15120",50917
"15130",37823
"15160",93618
"15170",2099
"15190",21806
"15200",86236
"15210",93618
"15220",93618
"15240",86236
"15270",11566
"15320",95769
"15290",50917
"15300",17512
"15330",81065
"15350",93618
"15370",2099
"15380",2099
"15390",21806
"15400",29736
"15500",2060
"15510",2060
"15520",2060
"15522",2060
"15560",2060
"15560",94841
"15620",80798
"15620",16168
"15700",82046
"15710",82046
"15720",82046
"15730",82046
"15740",82046
"15750",82046
"15800",32077
"15810",32077
"15900",83905
"15902",83905
"15910",83905
"15912",83905
"15920",83905
"15922",83905
"15930",83905
"15932",83905
"15940",83905
"15952",83905
"15960",83905
"15962",83905
"15970",83905
"15972",83905
"15980",83905
"15990",83905
"16000",83905
"16002",83905
"16020",83905
"16022",83905
"16030",83905
"16032",83905
"16040",83905
"16042",83905
"16060",83905
"16062",83905
"16090",83905
"16100",32670
"16110",32670
"16120",32670
"16130",32670
"16140",32670
"16150",32670
"16160",32670
"16170",32670
"16180",32670
"16190",32670
"16200",32670
"16210",32670
"16300",46058
"16420",51409
"16450",51409
"16465",95805
"16500",42015
"16510",42015
"16600",54945
"16610",54945
"16620",32787
"16630",32787
"16700",100078
"16710",95590
"16720",42267
"16730",28555
"16810",47611
"16860",47611
"16860",43479
"16860",36314
"16861",47611
"16861",43479
"16861",36314
"16862",47611
"16862",43479
"16862",36314
"16863",47611
"16863",43479
"16863",36314
"16866",47611
"16866",43479
"16866",36314
"16867",47611
"16867",43479
"16867",36314
"16868",47611
"16868",43479
"16868",36314
"16870",47611
"16870",43479
"16870",36314
"16900",41516
"17020",60673
"17080",60673
"17100",69399
"17110",69399
"17120",69399
"17140",69399
"17180",69399
"17330",38244
"17390",5905
"17410",49667
"17420",4649
"17440",5905
"17460",57815
"17470",64441
"17480",47416
"17500",93212
"17510",38382
"17520",46053
"17530",64555
"17550",65958
"17570",100800
"17580",94962
"17700",45335
"17710",12887
"17710",82783
"17730",16081
"17740",28111
"17750",4376
"17800",29827
"17810",64070
"18000",80080
"18010",80080
"18020",80080
"18030",80080
"18040",80080
"18050",80080
"18070",80080
"18080",80080
"18110",78106
"18120",78106
"18300",6853
"18400",70453
"18407",70453
"18408",70453
"18420",70453
"18430",70453
"18440",70453
"18470",17032
"18480",88682
"18500",17875
"18508",17875
"18509",17875
"18510",17875
"18520",17875
"18521",17875
"18522",17875
"18523",14753
"18600",98561
"18610",98561
"18700",91716
"18710",91716
"18800",25643
"18820",6599
"19000",28509
"19020",99795
"19030",60626
"19060",60626
"19080",8152
"19200",29024
"19210",29024
"19320",67257
"19500",56992
"19500",30658
"19510",42055
"19680",29606
"19800",21806
"19810",17512
"19830",17512
"19830",50917
"19900",50917
"19980",50917
"20200",89248
"20500",31347
"20500",5122
"20500",95707
"20510",5712
"20530",31347
"20540",80798
"20550",31347
"20560",30161
"20570",80798
"20570",16168
"20700",64626
"20710",64626
"20720",64626
"20730",64626
"20820",76153
"20828",76153
"20900",51895
"20902",51895
"20920",51895
"21000",85947
"21010",70480
"21020",70480
"21030",70480
"21070",85394
"21080",85394
"21090",95805
"21090",24893
"21100",26758
"21130",9846
"21300",13216
"21310",13216
"21400",36007
"21410",36007
"21500",89176
"21510",89176
"21620",99795
"21650",75741
"21660",89386
"21670",89386
"21680",89386
"21690",89386
"21730",20687
"21760",95403
"21780",75059
"21800",52567
"21900",91046
"21979",6593
"21980",83687
"21990",50917
"22000",59072
"22010",78695
"22100",22543
"22110",54681
"22120",87731
"22130",95420
"22140",87731
"22150",3437
"22160",3437
"22170",3437
"22180",87731
"22200",77135
"22220",77135
"22230",77135
"22300",58476
"22310",85430
"22320",58476
"22330",58476
"22340",23138
"22350",68969
"22361",68969
"22363",68969
"22364",68969
"22370",58476
"22380",55800
"22400",58476
"22410",58476
"22420",58476
"22430",58476
"22440",58476
"22450",26383
"22470",55800
"22500",75558
"22500",5592
"22510",75558
"22510",5592
"22520",75558
"22520",5592
"22521",75558
"22521",5592
"22600",42606
"22610",79324
"22620",79324
"22630",42606
"22631",42606
"22632",42606
"22633",42606
"22634",42606
"22650",42606
"22660",42606
"22670",42606
"22680",42606
"22690",42606
"23150",86764
"23300",76263
"23310",76263
"23320",51007
"23360",51007
"23380",76263
"23380",72071
"23400",89511
"23410",89511
"23420",95420
"23440",33847
"23450",89511
"23455",89511
"23460",33847
"23470",89511
"23490",89511
"23500",99795
"23510",45803
"23520",45803
"23530",77726
"23550",39395
"23551",39395
"23552",39395
"23553",39395
"23600",6673
"23610",6673
"23700",99795
"24010",89497
"24012",89497
"24021",89497
"24028",61402
"24029",61402
"24055",61402
"24065",98017
"24070",89497
"24075",89497
"24082",89497
"24083",8582
"24083",89497
"24095",89497
"24096",89497
"24100",43391
"24200",73157
"24240",67841
"24400",26085
"24410",26085
"24420",51874
"24430",84258
"24440",84258
"24441",84258
"24447",84258
"24449",84258
"24460",26085
"24480",26085
"24488",74693
"24634",49724
"24635",49724
"24640",49724
"24650",49724
"24660",49724
"24670",49724
"24673",49724
"24676",49724
"24677",49724
"24678",49724
"24679",49724
"24710",47416
"24720",69664
"24760",96751
"24780",69664
"24780",43479
"24790",47416
"24800",47416
"24810",47416
"24820",64441
"24830",64441
"24870",98120
"24880",40683
"25000",63940
"25010",63940
"25500",68358
"25510",68358
"25600",14831
"25610",14831
"25620",14831
"25700",5802
"25710",5802
"25758",5802
"25759",5802
"25760",5802
"25761",5802
"25762",5802
"25763",5802
"25764",5802
"25800",95420
"25806",3437
"25808",95420
"25809",3437
"25810",3437
"25811",3437
"25812",3437
"25813",3437
"25814",3437
"25815",3437
"25816",95420
"25817",95420
"25830",94916
"25850",80289
"42890",26257
"25870",25136
"25890",95420
"25892",3437
"25893",3437
"25896",3437
"25897",3437
"25898",3437
"25899",3437
"25900",81758
"25910",77629
"25930",90822
"25940",90822
"25960",3437
"25962",3437
"25980",80289
"25990",32135
"26000",85934
"26005",85934
"26006",85934
"26007",85934
"26010",85934
"26300",83545
"26500",43105
"26510",43105
"26700",33369
"26800",39439
"26803",39439
"26810",39439
"26900",43028
"26910",43028
"27000",55485
"27020",55485
"27030",55485
"27040",55485
"27050",55485
"27200",88538
"27400",83791
"27610",58996
"27800",60963
"27810",60963
"27900",15939
"27910",15939
"27920",15939
"27930",15939
"27940",15939
"28000",79737
"28010",79737
"28011",79737
"28012",79737
"28020",79737
"29120",40304
"29130",40304
"29140",12531
"29150",1638
"29160",57851
"29170",57851
"29180",7347
"29200",7347
"29540",17072
"29560",17072
"29570",17072
"29580",17072
"29700",17072
"29800",82912
"29900",52985
"31100",95063
"31110",20687
"31120",20687
"31130",20687
"31170",95063
"31180",95063
